,advertiser_id,advertiser_name,total_spend_usd,total_creatives,maximum_impressions,total_day,impressions_per_day,impressions_per_ads,impressions_per_spend,usd_per_ads_day
0,AR00000475401340059649,VINCE LEACH FOR SENATE,10500,5,865000.0,276,3134.057971014493,626.8115942028986,0.05969634230503797,7.608695652173913
1,AR00008638175664668673,TINA SMITH FOR MINNESOTA,251500,111,8346000.0,2294,3638.1865736704444,32.776455618652655,0.00013032387919941412,0.9876921385203862
2,AR00013006535361822721,NICK LALOTA FOR CONGRESS,3300,3,31000.0,138,224.63768115942028,74.8792270531401,0.02269067486458791,7.971014492753623
3,AR00013986200222171137,VESCOGNI FOR STATES ATTORNEY,400,3,3000.0,41,73.17073170731707,24.390243902439025,0.06097560975609756,3.252032520325203
4,AR00017645374919409665,DEMOCRATIC PARTY OF OREGON,6200,8,84000.0,96,875.0,109.375,0.017641129032258066,8.072916666666666
5,AR00018489799849541633,JOHN WATTS CAMPAIGN COMMITTEE,5500,2,3000.0,59,50.847457627118644,25.423728813559322,0.004622496147919877,46.610169491525426
6,AR00023984059453538305,TORIANN PARKER,800,1,30000.0,2,15000.0,15000.0,18.75,400.0
7,AR00027496999104282625,BATTLEGROUND TEXAS,5300,6,20000.0,42,476.1904761904762,79.36507936507937,0.01497454327643007,21.03174603174603
8,AR00030488220487647233,Isaac Flaum,100,30,30000.0,48,625.0,20.833333333333332,0.20833333333333331,0.06944444444444445
9,AR00032000598731653121,HARRISON FOR CONGRESS,4300,2,7000.0,51,137.2549019607843,68.62745098039215,0.01595987232102143,42.15686274509804
10,AR00035659773428891649,BEACHSIDE MEDIA INC,657500,6488,208278000.0,41332,5039.146424078196,0.7766871800367133,1.1812732776223778e-06,0.0024518759584504315
11,AR00036303262609047553,CALVIN SCHRAGE,4400,31,835000.0,500,1670.0,53.87096774193548,0.012243401759530792,0.2838709677419355
12,AR00036504198359023617,"RESTORE OUR HEALTHCARE, INC.",7200,6,1525000.0,25,61000.0,10166.666666666666,1.412037037037037,48.0
13,AR00041007797986394113,"NORTH CAROLINA ASSOCIATION OF EDUCATORS, INC.",4900,2,390000.0,20,19500.0,9750.0,1.989795918367347,122.5
14,AR00045511397613764609,LINDSTROM FOR SENATE,2300,7,38000.0,351,108.26210826210826,15.466015466015465,0.006724354550441507,0.9361009361009361
15,AR00050014997241135105,FOUNDATION FOR INCLUSIVE URBANISM,700,4,330000.0,731,451.4363885088919,112.85909712722298,0.16122728161031855,0.2393980848153215
16,AR00053674171938373633,MIKIE SHERRILL FOR CONGRESS,86200,46,2519000.0,3487,722.397476340694,15.704292963928129,0.0001821843731314168,0.5373997830450992
17,AR00054518596868505601,CAITLIN CAHILL FOR MINNESOTA HOUSE,400,15,30000.0,88,340.90909090909093,22.72727272727273,0.05681818181818182,0.30303030303030304
18,AR00059022196495876097,WALORSKI FOR CONGRESS INC,52200,37,2353000.0,1387,1696.4671953857246,45.85046474015472,0.000878361393489554,1.0171671310820554
19,AR00062681371193114625,MORGAN MEYER FOR TEXAS,57400,92,22966000.0,1157,19849.61106309421,215.75664199015446,0.0037588265155079174,0.5392506858066213
20,AR00063525796123246593,MOVEON.ORG POLITICAL ACTION,386700,133,23576000.0,1306,18052.067381317,135.72982993471427,0.0003509951640411541,2.2262777924904142
